1,697,70 
2,717,71 
3,738,71 
4,758,71 
5,777,71 
6,797,72 
7,817,72 
8,837,72 
9,857,73 
10,877,73 
11,897,74 
12,918,74 
13,937,75 
14,957,75 
15,977,76 
16,997,76 
17,1017,76 
18,1037,77 
19,1057,77 
20,1078,78 
21,1097,79 
22,1117,79 
23,1338,80 
24,1357,81 
25,1377,81 
26,1398,81 
27,1418,82 
28,1437,83 
29,1457,84 
30,1478,84 
31,1497,85 
32,1517,86 
33,1537,86 
34,1557,87 
35,1577,87 
36,1597,88 
37,1618,89 
38,1637,90 
39,1658,90 
40,1677,91 
41,1698,91 
42,1719,93 
43,1738,92 
44,1757,94 
45,1777,94 
46,1797,96 
47,1818,96 
48,2038,96 
49,2058,97 
50,2077,97 
51,2097,99 
52,2117,100 
53,2137,99 
54,2157,100 
55,2177,101 
56,2197,102 
57,2218,104 
58,2237,103 
59,2258,104 
60,2277,104 
61,2297,107 
62,2318,107 
63,2337,107 
64,2357,108 
65,2377,108 
66,2398,110 
67,2418,111 
68,2437,111 
69,2457,112 
70,2477,113 
71,2497,114 
72,2517,115 
73,2737,114 
74,2757,116 
75,2778,115 
76,2797,118 
77,2817,118 
78,2837,119 
79,2857,121 
80,2877,121 
81,2898,121 
82,2917,123 
83,2937,122 
84,2958,125 
85,2978,124 
86,2997,125 
87,3017,127 
88,3037,129 
89,3057,127 
90,3078,129 
91,3097,129 
92,3117,131 
93,3137,132 
94,3157,132 
95,3178,133 
96,3197,134 
97,3217,134 
98,3437,136 
99,3458,137 
100,3477,136 
102,3517,140 
104,3557,142 
106,3597,142 
108,3637,143 
110,3677,146 
112,3717,149 
114,3758,148 
116,3797,152 
118,3837,154 
120,3877,155 
122,3917,157 
124,4157,159 
126,4197,161 
128,4237,161 
130,4277,162 
132,4317,166 
134,4357,166 
136,4398,172 
138,4437,170 
140,4477,173 
142,4518,176 
144,4559,177 
146,4598,179 
148,4838,180 
150,4877,182 
152,4917,184 
154,4958,187 
156,4997,188 
158,5039,187 
160,5077,191 
162,5117,193 
164,5157,195 
166,5197,199 
168,5238,199 
170,5278,202 
172,5318,201 
174,5557,206 
176,5597,209 
178,5638,209 
180,5677,212 
182,5717,213 
184,5758,212 
186,5797,216 
188,5837,219 
190,5878,220 
192,5918,221 
194,5959,223 
196,5997,226 
198,6237,227 
200,6277,228 
203,6337,233 
206,6398,238 
209,6457,242 
212,6517,240 
215,6577,245 
218,6637,247 
221,6697,253 
224,6957,253 
227,7018,254 
230,7077,260 
233,7138,261 
236,7198,266 
239,7258,267 
242,7318,271 
245,7377,276 
248,7637,278 
251,7697,278 
254,7758,285 
257,7818,286 
260,7878,290 
263,7937,292 
266,7997,296 
269,8057,299 
272,8117,301 
275,8377,306 
278,8437,307 
281,8499,313 
284,8557,314 
287,8618,314 
290,8677,322 
293,8737,323 
296,8797,329 
299,9057,333 
302,9117,332 
306,9197,337 
310,9277,343 
314,9359,344 
318,9437,349 
322,9517,355 
326,9798,358 
330,9878,366 
334,9957,368 
338,10038,375 
342,10117,378 
346,10197,381 
350,10477,386 
354,10558,391 
358,10638,389 
362,10719,397 
366,10798,402 
370,10879,406 
374,11158,414 
378,11237,414 
382,11317,419 
386,11397,423 
390,11477,424 
394,11559,431 
398,11838,437 
402,11917,442 
407,12018,448 
412,12117,453 
417,12218,455 
422,12319,462 
427,12618,467 
432,12717,477 
437,12817,478 
442,12917,483 
447,13017,492 
452,13318,498 
457,13417,503 
462,13517,508 
467,13618,514 
472,13717,522 
477,14018,524 
482,14117,529 
487,14217,537 
492,14317,547 
497,14617,550 
502,14718,553 
508,14838,562 
514,14957,571 
520,15077,578 
526,15397,583 
532,15518,589 
538,15637,601 
544,15757,603 
550,16077,613 
556,16197,620 
562,16317,623 
568,16437,633 
574,16757,633 
580,16877,639 
586,16997,652 
592,17117,664 
598,17437,676 
604,17557,672 
611,17698,680 
618,17837,688 
625,18177,699 
632,18317,705 
639,18457,715 
646,18598,729 
653,18937,733 
660,19078,741 
667,19218,749 
674,19557,758 
681,19697,767 
688,19837,773 
695,19977,785 
702,20318,788 
710,20479,798 
718,20638,811 
726,20998,824 
734,21158,827 
742,21318,843 
750,21677,847 
758,21837,861 
766,21998,867 
774,22358,881 
782,22517,887 
790,22677,902 
798,23038,910 
806,23198,924 
815,23377,930 
824,23757,938 
833,23937,952 
842,24117,968 
851,24497,970 
860,24677,983 
869,24857,1004 
878,25237,1006 
887,25417,1018 
896,25797,1028 
905,25977,1042 
915,26177,1060 
925,26577,1070 
935,26777,1075 
945,27177,1086 
955,27377,1109 
965,27577,1115 
975,27977,1131 
985,28178,1145 
995,28577,1154 
1005,28777,1161 
1016,28997,1179 
1027,29418,1193 
1038,29637,1202 
1049,30058,1231 
1060,30277,1238 
1071,30697,1254 
1082,30917,1269 
1093,31337,1288 
1104,31557,1296 
1116,31797,1310 
1128,32237,1332 
1140,32477,1335 
1152,32917,1350 
1164,33157,1369 
1176,33597,1391 
1188,33837,1401 
1200,34277,1421 
1213,34538,1434 
1226,34997,1456 
1239,35257,1475 
1252,35717,1482 
1265,35977,1511 
1278,36437,1526 
1291,36697,1537 
1304,37157,1553 
1318,37637,1572 
1332,37917,1599 
1346,38397,1613 
1360,38677,1628 
1374,39158,1651 
1388,39437,1666 
1402,39917,1682 
1417,40417,1702 
1432,40717,1713 
1447,41217,1744 
1462,41517,1766 
1477,42018,1780 
1492,42517,1811 
